primary_theme,primary_name,regime,n_primary,rank,secondary_theme,secondary_name,count,pct_of_primary,pct_of_total_inst,note
T1,사죄·반성,진보,18,1.0,T4,정의·진상규명,6,33.3,1.7,
T1,사죄·반성,진보,18,2.0,T2,용서,3,16.7,0.9,
T1,사죄·반성,진보,18,3.0,T5,치유·회복,3,16.7,0.9,
T1,사죄·반성,진보,18,4.0,T3,화해·통합,2,11.1,0.6,
T1,사죄·반성,보수,1,,,,0,0.0,0.0,해당없음
T1,사죄·반성,전체,19,1.0,T4,정의·진상규명,6,31.6,1.7,
T1,사죄·반성,전체,19,2.0,T2,용서,3,15.8,0.9,
T1,사죄·반성,전체,19,3.0,T5,치유·회복,3,15.8,0.9,
T1,사죄·반성,전체,19,4.0,T3,화해·통합,2,10.5,0.6,
T2,용서,진보,8,1.0,T3,화해·통합,6,75.0,1.7,
T2,용서,진보,8,2.0,T4,정의·진상규명,2,25.0,0.6,
T2,용서,진보,8,3.0,T5,치유·회복,2,25.0,0.6,
T2,용서,진보,8,4.0,T1,사죄·반성,1,12.5,0.3,
T2,용서,보수,4,1.0,T3,화해·통합,3,75.0,0.9,표본과소(n<5)
T2,용서,보수,4,2.0,T6,기억·계승,2,50.0,0.6,표본과소(n<5)
T2,용서,전체,12,1.0,T3,화해·통합,9,75.0,2.6,
T2,용서,전체,12,2.0,T6,기억·계승,2,16.7,0.6,
T2,용서,전체,12,3.0,T4,정의·진상규명,2,16.7,0.6,
T2,용서,전체,12,4.0,T5,치유·회복,2,16.7,0.6,
T3,화해·통합,진보,57,1.0,T6,기억·계승,10,17.5,2.9,
T3,화해·통합,진보,57,2.0,T4,정의·진상규명,10,17.5,2.9,
T3,화해·통합,진보,57,3.0,T5,치유·회복,7,12.3,2.0,
T3,화해·통합,진보,57,4.0,T2,용서,6,10.5,1.7,
T3,화해·통합,보수,33,1.0,T6,기억·계승,10,30.3,2.9,
T3,화해·통합,보수,33,2.0,T2,용서,4,12.1,1.2,
T3,화해·통합,보수,33,3.0,T4,정의·진상규명,2,6.1,0.6,
T3,화해·통합,보수,33,4.0,T7,역사의식,2,6.1,0.6,
T3,화해·통합,전체,90,1.0,T6,기억·계승,20,22.2,5.8,
T3,화해·통합,전체,90,2.0,T4,정의·진상규명,12,13.3,3.5,
T3,화해·통합,전체,90,3.0,T2,용서,10,11.1,2.9,
T3,화해·통합,전체,90,4.0,T5,치유·회복,8,8.9,2.3,
T4,정의·진상규명,진보,76,1.0,T6,기억·계승,8,10.5,2.3,
T4,정의·진상규명,진보,76,2.0,T7,역사의식,6,7.9,1.7,
T4,정의·진상규명,진보,76,3.0,T5,치유·회복,3,3.9,0.9,
T4,정의·진상규명,진보,76,4.0,T1,사죄·반성,2,2.6,0.6,
T4,정의·진상규명,보수,7,1.0,T7,역사의식,1,14.3,0.3,
T4,정의·진상규명,전체,83,1.0,T6,기억·계승,8,9.6,2.3,
T4,정의·진상규명,전체,83,2.0,T7,역사의식,7,8.4,2.0,
T4,정의·진상규명,전체,83,3.0,T5,치유·회복,3,3.6,0.9,
T4,정의·진상규명,전체,83,4.0,T1,사죄·반성,2,2.4,0.6,
T5,치유·회복,진보,36,1.0,T4,정의·진상규명,7,19.4,2.0,
T5,치유·회복,진보,36,2.0,T6,기억·계승,6,16.7,1.7,
T5,치유·회복,진보,36,3.0,T7,역사의식,3,8.3,0.9,
T5,치유·회복,진보,36,4.0,T3,화해·통합,2,5.6,0.6,
T5,치유·회복,보수,26,1.0,T6,기억·계승,4,15.4,1.2,
T5,치유·회복,보수,26,2.0,T7,역사의식,2,7.7,0.6,
T5,치유·회복,전체,62,1.0,T6,기억·계승,10,16.1,2.9,
T5,치유·회복,전체,62,2.0,T4,정의·진상규명,7,11.3,2.0,
T5,치유·회복,전체,62,3.0,T7,역사의식,5,8.1,1.4,
T5,치유·회복,전체,62,4.0,T3,화해·통합,2,3.2,0.6,
T6,기억·계승,진보,211,1.0,T7,역사의식,64,30.3,18.5,
T6,기억·계승,진보,211,2.0,T5,치유·회복,19,9.0,5.5,
T6,기억·계승,진보,211,3.0,T4,정의·진상규명,16,7.6,4.6,
T6,기억·계승,진보,211,4.0,T3,화해·통합,12,5.7,3.5,
T6,기억·계승,보수,81,1.0,T7,역사의식,12,14.8,3.5,
T6,기억·계승,보수,81,2.0,T3,화해·통합,9,11.1,2.6,
T6,기억·계승,보수,81,3.0,T5,치유·회복,5,6.2,1.4,
T6,기억·계승,보수,81,4.0,T4,정의·진상규명,2,2.5,0.6,
T6,기억·계승,전체,292,1.0,T7,역사의식,76,26.0,22.0,
T6,기억·계승,전체,292,2.0,T5,치유·회복,24,8.2,6.9,
T6,기억·계승,전체,292,3.0,T3,화해·통합,21,7.2,6.1,
T6,기억·계승,전체,292,4.0,T4,정의·진상규명,18,6.2,5.2,
